gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2234945315	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK481805	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:39:56.111Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234944941	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK481589	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:39:55.459Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234940966	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK465209	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:39:50.174Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234907833	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK465294	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:31:51.157Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234906862	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK465325	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:31:48.894Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234906616	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK465295	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:31:48.654Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234906614	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK465324	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:31:48.649Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234906548	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK481669	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:31:48.555Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234906117	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MK465208	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA	South Africa	ada9d123-ddb4-467d-8891-806ea8d94230	-30.2	17.97											3089033	3089033	MATERIAL_SAMPLE							CC_BY_4_0		Strid & Strid 37382			2019-04-05T04:31:47.934Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2234733362	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/19469621	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides		SPECIES	Ursinia anthemoides (L.) Poir.	ZA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.90917	19.157875	100.0						2018-10-07T11:36:00Z	7	10	2018	3089033	3089033	HUMAN_OBSERVATION	iNaturalist	Observations	19469621			2019-03-25T08:15:39Z	CC_BY_NC_4_0	Felix Riegel	Felix Riegel			2019-04-04T15:11:34.877Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
